age,gender,service_branch,rank,MOS,years_of_service,marital_status,dependents,education_level,months_until_contract_end,total_training_hours,specialized_courses_completed,training_score_average,certifications_held,days_since_last_training,skills_current,training_budget_spent,health_index,physical_fitness_score,medical_restrictions,days_on_medical_leave,mental_health_status,wellness_program_participation,annual_leave_taken,emergency_leave_incidents,unauthorized_absences,leave_balance,leave_to_service_ratio,total_deployments,months_deployed_last_3yrs,deployment_type,months_since_last_deployment,mission_performance_rating,combat_exposure_level,performance_review_score,commendations,disciplinary_actions,leadership_potential_score,promotion_eligible,peer_rating_score,civilian_job_offers,financial_stress_indicator,family_support_score,relocation_willingness,attrition_risk,readiness_score,training_recency_score,deployment_recency_score,contract_pressure,contract_urgency_score,time_in_rank_estimate,training_gap,training_hours_per_year_service,health_performance_index,leave_to_deployment_ratio,skill_decay_factor,fitness_to_age_ratio,deployments_per_year,commendations_to_discipline_ratio,training_efficiency,leave_utilization_rate,deployment_load,unit_avg_readiness,relative_readiness,branch_attrition_rate,mos_retention_rate,peer_group_performance,performance_trajectory,rank_avg_health,wellness_red_flag,high_stress_indicator,deployment_fatigue,low_engagement,career_stagnation,retention_risk_composite
35,Male,Army,Officer,Military Police,18,Single,2,Associate,21,1226,8,91.6,5,609,False,14417,84.6,71.3,False,2.0,Good,True,25,0.0,1,5,1.39,6,23,Combat,19,4,Moderate,79.3,2,0,57.0,True,81.3,0.0,Low,95.6,Low,LOW_RISK,62.0,0.0339341521613492,0.20528965757990927,0,0.5625,8,1,68.11111111111111,67.0878,1.0869565217391304,0.0,2.037142857142857,0.3333333333333333,2.0,732.8,0.8333333333333334,0.10648148148148148,71.2625,-9.262500000000003,0.06393442622950819,0.9696969696969697,81.71122448979591,Average,82.6136690647482,0,0,0,0,0,0
23,Female,Army,Junior,Cyber Operations,2,Divorced,1,High School,2,420,3,79.8,1,142,True,10847,93.1,64.2,False,9.0,Excellent,True,12,0.0,0,18,6.0,0,0,Domestic,999,3,Low,81.0,1,0,44.5,False,81.45,0.0,Low,24.6,High,LOW_RISK,70.9,0.45434934753201073,0.0,1,0.9583333333333334,2,0,210.0,75.411,12.0,0.45434934753201073,2.7913043478260873,0.0,1.0,239.39999999999998,0.4,0.0,70.29583333333333,0.6041666666666714,0.06393442622950819,0.935064935064935,82.14514106583071,Average,87.2337972166998,0,1,0,0,0,5
29,Male,Army,Junior,Special Forces,5,Married,1,High School,25,548,0,78.8,2,436,False,4458,82.5,76.8,False,2.0,Excellent,False,23,1.0,0,7,4.6,1,31,International,4,4,Low,82.0,1,0,60.5,True,73.8,0.0,Low,61.7,Medium,LOW_RISK,67.3,0.08872423326203505,0.7165313105737893,0,0.4791666666666667,5,1,109.6,67.65,0.7419354838709677,0.0,2.6482758620689655,0.2,1.0,0.0,0.7666666666666667,0.5166666666666667,70.16279069767442,-2.862790697674427,0.06393442622950819,0.9620253164556962,82.14514106583071,Average,87.2337972166998,0,0,1,0,0,1
20,Male,Air Force,Junior,Aviation,5,Married,2,Master,44,656,0,70.6,0,27,True,0,86.7,100.0,False,3.0,Good,False,9,0.0,0,21,1.8,2,29,International,14,5,Low,86.7,9,0,31.7,True,79.3,1.0,Medium,69.3,Medium,LOW_RISK,73.4,0.8607079764250578,0.3114032239145977,0,0.08333333333333333,5,0,131.2,75.16890000000001,0.3103448275862069,0.8607079764250578,5.0,0.4,9.0,0.0,0.3,0.48333333333333334,70.48823529411764,2.911764705882362,0.08021390374331551,0.9666666666666667,82.14514106583071,Above Average,87.2337972166998,0,0,1,0,0,3
21,Female,Navy,Junior,Administration,1,Married,0,High School,25,0,4,74.2,3,43,True,12352,81.8,72.0,False,4.0,Good,True,0,2.0,0,30,0.0,2,31,Combat,30,3,Moderate,78.5,4,0,68.1,False,81.45,0.0,Low,38.7,Low,LOW_RISK,76.0,0.7875023777759395,0.0820849986238988,0,0.4791666666666667,1,0,0.0,64.21300000000001,0.0,0.7875023777759395,3.4285714285714284,2.0,4.0,296.8,0.0,2.5833333333333335,71.008,4.992000000000004,0.04433497536945813,0.9166666666666666,82.14514106583071,Average,87.2337972166998,0,1,1,0,0,3
24,Male,Army,Junior,Medical,3,Single,5,Associate,44,211,1,76.9,0,131,True,5632,99.2,85.5,False,2.0,Fair,False,20,1.0,0,10,6.67,0,0,Domestic,999,3,Low,80.3,2,0,35.2,False,83.0,0.0,High,77.5,High,LOW_RISK,72.2,0.48298108973770687,0.0,0,0.08333333333333333,3,0,70.33333333333333,79.6576,20.0,0.48298108973770687,3.5625,0.0,2.0,76.9,0.6666666666666666,0.0,70.21111111111111,1.9888888888888943,0.06393442622950819,0.9508196721311475,82.14514106583071,Average,87.2337972166998,0,1,0,0,0,2
34,Female,Army,NCO,Maintenance,10,Divorced,1,Associate,4,811,3,80.7,4,216,True,3092,88.3,100.0,False,0.0,Excellent,False,19,2.0,0,11,1.9,4,14,International,12,4,Low,83.3,0,0,29.9,True,81.45,0.0,Low,75.1,High,LOW_RISK,84.6,0.30119421191220214,0.36787944117144233,1,0.9166666666666666,5,0,81.1,73.5539,1.3571428571428572,0.30119421191220214,2.9411764705882355,0.4,0.0,242.10000000000002,0.6333333333333333,0.11666666666666667,73.85,10.75,0.06393442622950819,0.9344262295081968,81.72773722627738,Above Average,84.65279329608938,0,0,0,0,0,3
42,Female,Army,Officer,Engineer,23,Married,5,Associate,8,1745,11,96.0,8,606,False,19705,86.0,80.1,False,21.0,Good,False,20,3.0,0,10,0.87,6,21,Domestic,24,4,Low,88.1,9,0,73.1,True,97.2,0.0,Medium,57.8,Medium,MEDIUM_RISK,81.4,0.034504460733950484,0.1353352832366127,1,0.8333333333333334,13,1,75.8695652173913,75.76599999999999,0.9523809523809523,0.0,1.907142857142857,0.2608695652173913,9.0,1056.0,0.6666666666666666,0.07608695652173914,73.88333333333334,7.516666666666666,0.06393442622950819,0.9482758620689655,81.71122448979591,Above Average,82.6136690647482,0,0,0,0,0,3
25,Male,Army,Junior,Cyber Operations,4,Married,4,High School,26,365,3,60.0,2,520,False,4759,100.0,71.9,False,0.0,Excellent,False,14,3.0,0,16,3.5,2,14,Combat,22,4,Low,88.2,5,0,48.6,True,88.8,0.0,High,70.4,Medium,LOW_RISK,66.0,0.05563799827784281,0.1598797460796939,0,0.4583333333333333,4,1,91.25,88.2,1.0,0.0,2.8760000000000003,0.5,5.0,180.0,0.4666666666666667,0.2916666666666667,70.29583333333333,-4.295833333333334,0.06393442622950819,0.935064935064935,82.14514106583071,Above Average,87.2337972166998,0,1,0,0,0,2
26,Male,Air Force,Junior,Cyber Operations,6,Single,2,High School,24,796,1,93.4,2,598,False,2112,99.9,100.0,False,1.0,Fair,False,25,0.0,0,5,4.17,3,25,Domestic,30,4,Low,87.1,2,0,46.1,True,82.2,0.0,Medium,53.4,High,LOW_RISK,59.0,0.03607258132809112,0.0820849986238988,0,0.5,6,1,132.66666666666666,87.01289999999999,1.0,0.0,3.8461538461538463,0.5,2.0,93.4,0.8333333333333334,0.3472222222222222,70.29583333333333,-11.295833333333334,0.08021390374331551,0.935064935064935,81.27435897435898,Above Average,87.2337972166998,0,0,1,0,0,1
